Day,Date,Daily Rainfall Total (mm),Highest30-min Rainfall (mm),Highest60-min Rainfall (mm),Highest120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
,05 June 2022,2.2,1.8,2,2,27,33.3,24.6,2.7,22.6,2022,June
,06 June 2022,6.8,6.8,6.8,6.8,27.6,32.2,23.2,3.2,20.2,2022,June
,07 June 2022,1,0.8,0.8,0.8,26.7,29.1,25.4,2.3,16.5,2022,June
,08 June 2022,5.6,4.4,4.8,4.8,27.4,33.4,24.2,3.2,28.9,2022,June
,09 June 2022,8.4,5.8,6.6,8.2,26.5,31.2,23.7,2.8,22,2022,June
,10 June 2022,0,0,0,0,27.8,33.7,24.9,2.7,23.7,2022,June
,11 June 2022,55.6,30.8,31.2,31.2,26.2,32.4,22.7,3.8,27.8,2022,June
,12 June 2022,0,0,0,0,26.6,29.2,25,2.9,20.6,2022,June
,13 June 2022,11.6,10.8,10.8,10.8,27.3,32.9,23.9,3,14.8,2022,June
,14 June 2022,4,4,4,4,27.3,32.8,24.3,2.9,17.6,2022,June
,15 June 2022,1,0.6,0.6,0.6,27.7,32.7,25.3,3.3,17.2,2022,June
,16 June 2022,26,14.4,24,24.2,25.8,29.8,23.2,3,29.4,2022,June
,17 June 2022,0,0,0.4,1.2,27.2,31.3,24.5,2.2,12.6,2022,June
,18 June 2022,0,0,0,0,27.3,32.4,24.7,3.2,21.3,2022,June
,19 June 2022,0,0,0,0,26.9,32.4,24.2,3.4,25.9,2022,June
,20 June 2022,3.6,1,2,3.2,25.8,27.6,24.4,2.9,32.8,2022,June
,21 June 2022,0,0,0,0,27,31.4,25.3,3,17.2,2022,June
,22 June 2022,0,0,0,0,27.2,31.5,25.1,3.3,20.6,2022,June
,23 June 2022,1,0.6,0.6,0.8,26.4,31.5,24.8,2.8,24.8,2022,June
,24 June 2022,0,0,0,0,27,32.6,24.6,2.8,16.5,2022,June
,25 June 2022,3.2,2.6,3,3.2,26.2,28.9,23.8,2.7,20.6,2022,June
,26 June 2022,0,0,0,0,28.1,33.6,25,3.5,19.4,2022,June
,27 June 2022,0,0,0,0,28.4,33.2,25.1,3.3,24.1,2022,June
,28 June 2022,0,0,0,0,27.3,33.7,24.3,3.2,36.7,2022,June
,29 June 2022,0,0,0,0,28.2,33.4,24.6,3.6,20.9,2022,June
,30 June 2022,6.4,2,3.2,5.6,25.9,30.2,23.8,3.2,25.6,2022,June
,01 July 2022,-,-,-,-,-,-,-,-,-,2022,July
,02 July 2022,0.2,0.2,0.2,0.2,28.1,32.9,25.1,3.9,27.4,2022,July
,03 July 2022,0,0,0,0,28.4,33.6,25.2,3.2,18,2022,July
,04 July 2022,16.4,13.4,14.2,15.6,27.4,33.7,23.7,3,33.9,2022,July
,05 July 2022,5,4.4,4.6,4.6,26,31.9,24.3,2.7,29.4,2022,July
,06 July 2022,0,0,0,0.2,27.8,31.6,25.2,2.5,16.1,2022,July
,07 July 2022,0,0,0,0,28.9,33.6,25.1,3.4,18.7,2022,July
,08 July 2022,10.2,5,7.6,10,27.5,32.1,23.9,3.6,31.3,2022,July
,09 July 2022,0,0,0,0,28.6,33.5,25.7,3.4,20.2,2022,July
,10 July 2022,13.2,11.2,13,13.2,26.5,31.1,23.6,2.8,30.9,2022,July
,11 July 2022,0,0,0,0,27.8,32.7,24.6,3.5,19.8,2022,July
,12 July 2022,0,0,0,0,28.3,32.7,25.6,3.2,18.7,2022,July
,13 July 2022,0,0,0,0,28,32.3,25.2,3,20.9,2022,July
,14 July 2022,16.6,13.4,15.4,16.6,27.6,33,24.5,2.9,20.2,2022,July
,15 July 2022,3.8,3,3.6,3.8,27.6,32.9,24.6,3.4,27.8,2022,July
,16 July 2022,0,0,0,0,28.8,33.1,25.7,4.5,20.2,2022,July
,17 July 2022,0,0,0,0,29.6,33.5,27.5,4.3,19.4,2022,July
,18 July 2022,0,0,0,0,29.3,33.4,26.5,3.8,18.7,2022,July
,19 July 2022,0,0,0,0,29.3,33.5,27,4.7,22,2022,July
,20 July 2022,24,16.6,18.6,19.6,26.2,30.1,22.2,3.1,48.9,2022,July
,21 July 2022,0,0,0,0,27.7,33.2,24.8,3.2,20.9,2022,July
,22 July 2022,4.6,4.2,4.6,4.6,27,32.1,24.5,3,18,2022,July
,23 July 2022,0,0,0,0,27.4,32.8,25.2,2.8,23.7,2022,July
,24 July 2022,41,34.2,37.6,37.6,26.4,31.7,23.3,2.9,28.5,2022,July
,25 July 2022,2,0.8,0.8,1.2,26.3,30.9,24.1,3,18.3,2022,July
,26 July 2022,1.8,0.8,1.2,1.8,26.4,29.5,24.3,3.3,27.4,2022,July
,27 July 2022,0,0,0,0,28.5,33,25.1,4.2,24.8,2022,July
,28 July 2022,7,3.6,3.6,6.2,28.4,32.6,25.6,4,31.7,2022,July
,29 July 2022,3.8,2.6,2.8,2.8,27.2,32.4,23.6,3.5,37,2022,July
,30 July 2022,0,0,0,0.2,27.8,33,24,4.4,22.4,2022,July
,31 July 2022,9.6,9.4,9.6,9.6,27.7,32.6,24.7,3.6,28.5,2022,July
,01 August 2022,-,-,-,-,-,-,-,-,-,2022,August
,02 August 2022,45,19.2,29.2,37.6,26.1,31.8,23.5,2.7,22.4,2022,August
,03 August 2022,4,1.6,2.4,2.4,25.5,28.6,24,3,23,2022,August
,04 August 2022,0.4,0.2,0.2,0.6,25.8,28.9,24.4,3.9,20.6,2022,August
,05 August 2022,0,0,0,0,26.7,31.4,24,3.1,14.1,2022,August
,06 August 2022,0,0,0,0,28.2,33.5,24.3,3.6,20.6,2022,August
,07 August 2022,0,0,0,0,28.4,32.4,25.7,3.6,21.7,2022,August
,08 August 2022,0,0,0,0,28.9,32.6,26.2,4.3,24.4,2022,August
,09 August 2022,0,0,0,0,28.4,33.3,25,3.4,19.4,2022,August
