Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
14 Apr,0.0,0.0,0.0,0.0,28.8,32.8,25.8,5.4,23.0,2020,April
15 Apr,1.0,1.0,1.0,1.0,28.2,33.6,24.9,3.8,24.4,2020,April
16 Apr,0.0,0.0,0.0,0.0,28.7,33.6,25.2,4.3,23.3,2020,April
17 Apr,0.0,0.0,0.0,0.0,28.8,33.2,25.3,4.1,18.3,2020,April
18 Apr,0.0,0.0,0.0,0.0,28.7,34.0,24.7,3.9,18.7,2020,April
19 Apr,0.0,0.0,0.0,0.0,29.7,34.9,25.4,3.9,18.3,2020,April
20 Apr,0.0,0.0,0.0,0.0,29.6,34.5,25.6,4.5,21.7,2020,April
21 Apr,13.8,6.6,7.0,7.8,27.8,33.8,25.2,2.8,21.3,2020,April
22 Apr,1.0,0.6,1.2,1.2,28.8,34.7,25.8,3.4,20.6,2020,April
23 Apr,2.8,2.0,2.8,2.8,27.8,32.7,25.0,3.4,21.7,2020,April
24 Apr,18.8,14.6,15.4,18.2,26.9,32.8,24.0,3.4,27.4,2020,April
25 Apr,20.2,10.8,10.8,10.8,26.5,32.4,24.1,2.8,16.1,2020,April
26 Apr,0.4,0.2,0.2,0.2,27.2,32.7,25.2,3.2,29.1,2020,April
27 Apr,4.4,4.2,4.4,4.4,27.1,30.8,24.9,3.7,21.3,2020,April
28 Apr,-,0.0,0.0,0.0,28.0,32.8,25.4,3.7,16.1,2020,April
29 Apr,1.0,0.8,1.0,1.0,28.6,33.4,25.5,3.7,22.6,2020,April
30 Apr,16.2,10.8,11.8,12.0,27.0,31.7,25.2,2.5,15.2,2020,April
2 May,0.0,0.0,0.0,0.0,27.7,32.4,24.9,3.0,19.8,2020,May
3 May,1.8,0.8,1.2,1.4,28.4,33.0,25.6,3.2,18.3,2020,May
4 May,15.0,13.6,14.6,14.6,26.8,31.8,25.3,2.5,17.6,2020,May
5 May,40.2,38.6,40.0,40.2,27.4,34.9,23.8,3.2,26.7,2020,May
6 May,-,-,-,-,-,-,-,-,-,2020,May
7 May,0.0,0.0,0.0,0.0,28.8,34.6,25.9,3.1,18.0,2020,May
8 May,-,-,-,-,-,-,-,-,-,2020,May
9 May,0.0,0.0,0.0,0.0,30.1,34.5,27.0,4.1,24.8,2020,May
10 May,-,-,-,-,-,-,-,-,-,2020,May
11 May,21.4,14.6,17.0,18.2,28.3,33.1,24.6,3.0,24.4,2020,May
12 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,May
13 May,-,-,-,-,-,-,-,-,-,2020,May
14 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,May
15 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,May
16 May,0.4,0.4,0.4,0.4,-,-,-,-,-,2020,May
17 May,-,-,-,-,-,-,-,-,-,2020,May
18 May,0.4,0.2,1.2,3.8,-,-,-,-,-,2020,May
19 May,4.8,4.4,4.8,4.8,28.7,34.1,26.5,2.8,35.6,2020,May
20 May,-,-,-,-,-,-,-,-,-,2020,May
21 May,0.0,0.0,0.0,0.0,28.7,34.8,25.7,-,18.0,2020,May
22 May,-,-,-,-,-,-,-,-,-,2020,May
23 May,-,-,-,-,-,-,-,-,-,2020,May
24 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,May
25 May,0.0,0.0,0.0,0.0,29.3,34.9,25.9,-,21.3,2020,May
26 May,1.4,1.0,1.0,1.4,-,-,-,-,-,2020,May
27 May,21.2,14.4,18.6,20.2,27.3,31.2,24.1,2.3,22.4,2020,May
28 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,May
29 May,0.2,0.2,0.2,0.2,28.7,33.7,26.7,3.0,23.0,2020,May
30 May,-,-,-,-,-,-,-,-,-,2020,May
31 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,May
2 Jun,-,-,-,-,-,-,-,-,-,2020,June
3 Jun,-,-,-,-,-,-,-,-,-,2020,June
4 Jun,3.0,1.0,1.2,2.0,27.9,34.1,24.6,3.4,18.0,2020,June
5 Jun,-,-,-,-,-,-,-,-,-,2020,June
6 Jun,6.8,-,-,-,26.8,29.3,24.2,2.3,18.3,2020,June
7 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,June
8 Jun,-,-,-,-,-,-,-,-,-,2020,June
9 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,June
10 Jun,-,-,-,-,-,-,-,-,-,2020,June
11 Jun,-,-,-,-,-,-,-,-,-,2020,June
12 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,June
13 Jun,7.8,1.8,3.2,5.0,25.2,26.5,24.5,3.6,18.7,2020,June
14 Jun,2.2,2.2,2.2,2.2,27.4,33.4,24.6,3.6,23.3,2020,June
15 Jun,0.4,0.4,0.4,0.4,29.2,33.6,26.2,3.6,24.8,2020,June
16 Jun,1.0,0.8,0.8,0.8,27.6,31.7,25.3,2.8,19.4,2020,June
17 Jun,34.6,22.6,27.4,30.2,26.3,30.2,23.9,2.6,23.7,2020,June
18 Jun,1.4,0.6,1.0,1.4,27.0,31.2,25.1,3.0,14.1,2020,June
19 Jun,3.0,1.0,2.0,2.8,27.3,32.7,24.7,2.9,22.4,2020,June
20 Jun,23.4,9.6,11.6,15.6,26.0,28.5,23.9,3.2,28.9,2020,June
21 Jun,23.2,20.4,22.4,22.6,26.1,27.9,23.8,2.5,31.3,2020,June
22 Jun,-,-,-,-,-,-,-,-,-,2020,June
23 Jun,-,-,-,-,-,-,-,-,-,2020,June
24 Jun,-,-,-,-,-,-,-,-,-,2020,June
25 Jun,0.2,-,-,-,-,-,-,-,-,2020,June
26 Jun,0.0,0.0,0.0,0.0,27.7,32.1,24.7,3.1,21.7,2020,June
27 Jun,0.0,0.0,0.0,0.0,28.6,32.7,25.9,4.1,24.1,2020,June
28 Jun,0.0,0.0,0.0,0.0,28.5,32.2,26.5,4.2,23.7,2020,June
29 Jun,4.4,4.2,4.2,4.2,28.1,32.0,25.7,3.8,23.7,2020,June
30 Jun,0.2,0.2,0.2,0.2,28.3,32.8,25.1,4.0,23.0,2020,June
2 Jul,0.0,0.0,0.0,0.0,28.6,32.1,26.0,4.4,20.2,2020,July
3 Jul,0.0,0.0,0.0,0.0,29.1,33.6,26.6,4.5,24.8,2020,July
4 Jul,0.6,0.6,0.6,0.6,28.2,33.0,25.1,3.7,20.9,2020,July
5 Jul,0.2,0.2,0.2,0.2,27.1,33.9,24.7,3.0,22.4,2020,July
6 Jul,0.8,0.8,0.8,0.8,28.4,33.3,24.9,3.5,27.0,2020,July
7 Jul,2.4,2.2,2.2,2.4,27.1,32.3,25.0,2.7,20.9,2020,July
8 Jul,1.0,0.8,0.8,0.8,27.0,31.5,25.1,3.1,18.7,2020,July
9 Jul,2.0,0.4,0.6,1.0,25.7,28.4,24.6,4.8,28.2,2020,July
10 Jul,0.0,0.0,0.0,0.0,26.8,30.8,24.4,2.9,16.1,2020,July
11 Jul,3.8,2.4,2.4,2.4,26.5,30.4,24.7,2.5,18.0,2020,July
12 Jul,2.4,2.2,2.2,2.4,28.1,32.6,25.1,3.8,23.7,2020,July
13 Jul,28.2,6.4,9.2,10.6,25.3,28.7,24.1,4.6,25.2,2020,July
14 Jul,0.2,0.2,0.2,0.2,26.4,30.5,24.1,2.5,17.2,2020,July
15 Jul,3.6,3.6,3.6,3.6,26.8,32.2,24.8,2.5,16.5,2020,July
16 Jul,7.2,-,-,-,27.2,34.1,24.6,2.9,20.6,2020,July
17 Jul,0.2,0.2,0.2,0.2,28.5,33.8,24.6,3.0,15.7,2020,July
18 Jul,0.2,0.2,0.2,0.2,27.2,32.2,24.9,2.7,20.6,2020,July
19 Jul,0.0,0.0,0.0,0.0,28.3,32.8,24.7,3.8,20.9,2020,July
20 Jul,0.0,0.0,0.0,0.0,28.5,33.1,25.2,3.6,23.0,2020,July
21 Jul,0.0,0.0,0.0,0.0,28.3,33.4,25.2,3.0,22.4,2020,July
22 Jul,11.2,6.8,9.4,10.0,27.1,31.4,24.6,2.4,18.7,2020,July
23 Jul,5.2,2.6,4.0,5.2,27.2,31.5,23.5,3.4,25.2,2020,July
24 Jul,1.2,0.8,0.8,1.0,27.0,31.9,25.1,2.9,19.4,2020,July
25 Jul,0.2,0.2,0.2,0.2,27.0,32.1,24.4,3.2,23.7,2020,July
26 Jul,0.6,0.2,0.4,0.4,27.2,32.0,25.4,4.0,28.5,2020,July
27 Jul,18.0,14.0,14.2,16.2,26.1,31.1,24.0,3.1,21.3,2020,July
28 Jul,8.2,7.8,8.0,8.0,26.9,31.1,24.4,2.9,21.7,2020,July
29 Jul,20.8,14.6,16.6,16.8,25.3,28.6,23.8,2.6,23.3,2020,July
30 Jul,0.4,0.2,0.2,0.2,27.9,33.1,24.5,3.5,21.3,2020,July
31 Jul,0.0,0.0,0.0,0.0,27.9,31.7,25.2,4.7,24.4,2020,July
2 Aug,0.0,0.0,0.0,0.0,28.5,33.3,25.4,4.5,20.6,2020,August
3 Aug,0.0,0.0,0.0,0.0,28.8,32.4,25.6,4.4,19.4,2020,August
4 Aug,0.0,0.0,0.0,0.0,27.4,30.2,24.4,3.9,35.6,2020,August
5 Aug,0.0,0.0,0.0,0.0,28.5,33.3,25.8,3.9,17.6,2020,August
6 Aug,0.0,0.0,0.0,0.0,28.7,32.8,26.3,3.1,16.1,2020,August
7 Aug,0.0,0.0,0.0,0.0,28.9,34.0,25.8,4.0,18.3,2020,August
8 Aug,0.0,0.0,0.0,0.0,29.4,34.4,26.6,4.3,20.2,2020,August
9 Aug,0.0,0.0,0.0,0.0,29.1,33.5,26.3,3.9,22.0,2020,August
10 Aug,0.0,0.0,0.0,0.0,29.4,34.2,26.8,4.6,20.6,2020,August
11 Aug,0.0,0.0,0.0,0.0,29.2,33.5,27.2,3.9,19.1,2020,August
12 Aug,0.6,0.4,0.4,0.6,26.7,28.7,25.0,3.5,28.9,2020,August
13 Aug,24.0,13.0,17.4,21.0,27.7,33.2,22.7,3.6,21.3,2020,August
14 Aug,5.6,3.6,4.2,4.4,25.1,27.2,23.5,3.3,30.9,2020,August
15 Aug,0.0,0.0,0.0,0.0,27.6,32.6,23.9,3.2,17.6,2020,August
16 Aug,0.6,0.6,0.6,0.6,27.5,32.3,24.6,3.3,22.4,2020,August
17 Aug,53.8,37.0,44.0,47.2,26.4,32.3,22.9,3.1,29.8,2020,August
18 Aug,2.6,1.4,1.8,2.6,26.1,30.7,24.4,3.1,29.8,2020,August
19 Aug,0.2,0.2,0.2,0.2,27.3,32.5,24.3,2.8,19.1,2020,August
20 Aug,1.6,1.6,1.6,1.6,27.7,32.6,24.8,3.6,21.3,2020,August
21 Aug,0.0,0.0,0.0,0.0,29.2,33.6,27.1,4.7,22.0,2020,August
22 Aug,2.2,1.2,1.2,1.4,26.7,32.7,23.9,3.0,30.2,2020,August
23 Aug,22.6,10.8,15.2,19.4,24.8,26.7,22.4,2.8,32.0,2020,August
24 Aug,0.2,0.2,0.2,0.2,27.7,33.0,23.7,3.9,20.2,2020,August
25 Aug,6.4,6.2,6.2,6.4,26.9,31.3,25.0,3.6,20.9,2020,August
26 Aug,0.8,0.8,0.8,0.8,26.7,32.4,24.6,4.6,31.3,2020,August
27 Aug,0.0,0.0,0.0,0.0,27.4,31.9,24.3,3.8,18.7,2020,August
28 Aug,0.0,0.0,0.0,0.0,28.2,33.2,24.5,4.0,22.4,2020,August
29 Aug,27.2,22.0,25.0,25.2,26.3,30.1,24.3,2.4,18.3,2020,August
30 Aug,0.2,0.2,0.2,0.2,28.0,33.3,24.8,3.6,22.0,2020,August
31 Aug,0.0,0.0,0.0,0.0,28.5,33.0,25.7,3.9,22.0,2020,August
2 Sep,1.8,1.2,1.4,1.8,27.8,32.5,25.4,2.9,14.8,2020,September
3 Sep,12.2,11.0,11.4,11.4,26.6,31.4,24.3,2.7,16.9,2020,September
4 Sep,1.2,0.8,1.2,1.2,27.0,32.3,24.5,3.8,22.6,2020,September
5 Sep,22.2,5.6,8.6,12.8,24.7,26.1,23.3,3.2,18.3,2020,September
6 Sep,13.2,11.8,12.4,12.8,26.0,32.3,23.7,2.4,23.0,2020,September
7 Sep,0.0,0.0,0.0,0.0,27.3,32.6,24.2,3.6,22.6,2020,September
8 Sep,1.8,1.2,1.8,1.8,27.4,32.4,25.4,3.5,27.0,2020,September
9 Sep,3.0,2.6,2.8,2.8,27.3,32.3,25.0,2.6,18.3,2020,September
10 Sep,0.6,0.6,0.6,0.6,27.6,32.0,25.2,3.5,23.3,2020,September
11 Sep,16.2,15.0,15.0,15.2,26.9,32.7,23.8,4.0,21.3,2020,September
12 Sep,5.8,2.2,2.8,3.6,25.4,31.6,23.3,2.6,33.5,2020,September
13 Sep,15.2,4.4,7.8,11.4,24.5,26.9,22.4,3.2,33.9,2020,September
14 Sep,14.8,11.8,12.8,14.2,24.9,28.8,23.3,2.7,30.6,2020,September
15 Sep,0.0,0.0,0.0,0.0,27.3,32.2,24.2,3.5,19.8,2020,September
16 Sep,15.2,8.0,11.0,14.2,26.1,31.3,21.7,3.9,36.7,2020,September
17 Sep,0.0,0.0,0.0,0.0,27.4,33.7,24.2,4.1,29.1,2020,September
18 Sep,0.0,0.0,0.0,0.0,28.6,34.0,24.9,4.3,23.3,2020,September
19 Sep,12.6,12.0,12.2,12.2,28.0,34.0,23.6,4.3,29.8,2020,September
20 Sep,2.2,1.6,1.8,2.0,27.9,32.7,24.9,3.0,22.6,2020,September
21 Sep,3.2,1.0,1.6,2.2,25.9,28.9,24.5,2.8,20.2,2020,September
22 Sep,0.2,0.2,0.2,0.2,27.1,33.3,24.8,3.1,18.3,2020,September
23 Sep,0.0,0.0,0.0,0.0,28.3,33.9,24.5,3.1,24.1,2020,September
24 Sep,6.8,6.6,6.6,6.6,27.9,32.8,24.1,4.0,29.4,2020,September
25 Sep,0.6,0.6,0.6,0.6,28.2,33.5,25.2,3.5,27.4,2020,September
26 Sep,24.4,14.2,19.0,21.0,25.8,29.0,23.3,4.2,27.8,2020,September
27 Sep,6.4,2.8,4.2,5.6,26.0,30.0,22.8,3.6,22.0,2020,September
28 Sep,0.0,0.0,0.0,0.0,27.5,32.2,24.9,2.9,22.4,2020,September
29 Sep,0.8,0.4,0.4,0.4,26.7,30.6,24.4,3.0,27.8,2020,September
30 Sep,6.2,5.4,5.6,6.2,27.4,33.3,24.6,2.9,18.7,2020,September
2 Oct,0.4,0.4,0.4,0.4,27.4,33.0,24.6,3.5,22.0,2020,October
3 Oct,3.4,1.8,1.8,3.0,27.4,32.4,23.9,5.8,29.1,2020,October
4 Oct,0.0,0.0,0.0,0.0,27.6,31.1,25.0,2.6,21.3,2020,October
5 Oct,0.0,0.0,0.0,0.0,28.6,34.8,25.6,3.0,19.4,2020,October
6 Oct,0.0,0.0,0.0,0.0,28.3,33.8,25.6,3.6,21.7,2020,October
7 Oct,0.4,0.4,0.4,0.4,28.4,33.3,25.0,5.2,27.0,2020,October
8 Oct,4.6,2.0,3.0,3.4,26.9,32.4,24.4,4.9,27.8,2020,October
9 Oct,0.0,0.0,0.0,0.0,27.5,31.0,25.6,3.7,18.7,2020,October
10 Oct,23.0,20.4,22.0,22.6,26.6,29.8,23.2,3.1,31.7,2020,October
11 Oct,0.0,0.0,0.0,0.0,27.3,31.7,24.8,4.6,33.9,2020,October
12 Oct,0.0,0.0,0.0,0.0,27.9,31.1,25.7,6.2,28.9,2020,October
13 Oct,0.0,0.0,0.0,0.0,28.2,32.0,25.0,3.5,20.2,2020,October
14 Oct,6.4,4.4,4.4,4.4,27.7,31.5,24.2,3.4,21.7,2020,October
15 Oct,1.0,0.4,0.6,1.0,27.6,33.1,24.0,4.3,26.3,2020,October
16 Oct,4.2,3.8,3.8,3.8,28.3,33.3,23.8,4.1,25.9,2020,October
17 Oct,0.0,0.0,0.0,0.0,29.1,34.1,25.8,3.7,22.0,2020,October
18 Oct,3.4,3.2,3.2,3.4,27.4,31.3,23.7,3.1,33.2,2020,October
19 Oct,0.0,0.0,0.0,0.0,28.1,33.3,25.5,3.0,17.2,2020,October
20 Oct,0.2,0.2,0.2,0.2,27.4,30.2,25.7,2.6,16.1,2020,October
21 Oct,1.2,0.6,0.6,0.6,28.0,34.4,25.0,3.8,17.6,2020,October
22 Oct,1.4,0.6,0.6,1.2,27.0,31.5,24.3,5.7,32.4,2020,October
23 Oct,0.0,0.0,0.0,0.0,28.2,31.9,25.9,3.1,13.3,2020,October
24 Oct,2.6,1.6,1.6,2.0,27.0,30.7,25.7,2.4,12.6,2020,October
25 Oct,16.2,10.0,14.4,15.6,27.7,33.4,22.4,4.3,28.9,2020,October
26 Oct,0.2,0.2,0.2,0.2,26.8,29.0,24.3,3.0,24.8,2020,October
27 Oct,0.0,0.0,0.0,0.0,28.9,34.0,25.0,4.2,24.1,2020,October
28 Oct,7.0,7.0,7.0,7.0,-,-,-,-,-,2020,October
29 Oct,0.0,0.0,0.0,0.0,27.4,32.7,25.1,3.0,19.4,2020,October
30 Oct,0.0,0.0,0.0,0.0,27.9,32.4,24.3,3.3,14.8,2020,October
31 Oct,18.2,17.6,18.0,18.0,26.9,32.7,23.9,3.2,28.9,2020,October
2 Nov,21.2,8.0,8.0,13.6,26.1,32.2,24.1,3.3,24.4,2020,November
3 Nov,0.0,0.0,0.0,0.0,27.1,30.7,24.7,2.5,12.2,2020,November
4 Nov,50.4,31.2,41.2,45.4,24.9,26.8,23.3,2.6,37.0,2020,November
5 Nov,0.0,0.0,0.0,0.0,27.5,32.9,23.9,2.8,15.7,2020,November
6 Nov,0.0,0.0,0.0,0.0,28.2,33.9,25.2,2.7,18.0,2020,November
7 Nov,25.6,9.4,13.6,18.0,25.1,27.1,23.9,3.1,28.2,2020,November
8 Nov,2.2,1.0,1.8,2.0,25.6,29.8,23.8,3.4,27.4,2020,November
9 Nov,0.0,0.0,0.0,0.0,26.3,31.3,24.6,3.1,20.2,2020,November
10 Nov,15.4,11.8,11.8,14.0,25.8,29.3,23.7,2.2,18.0,2020,November
11 Nov,0.0,0.0,0.0,0.0,27.8,32.4,24.0,3.1,19.4,2020,November
12 Nov,0.0,0.0,0.0,0.0,29.1,33.7,25.7,4.2,18.7,2020,November
13 Nov,0.0,0.0,0.0,0.0,28.4,33.3,25.1,4.3,21.3,2020,November
14 Nov,2.2,1.4,2.0,2.2,27.6,32.6,25.1,3.6,18.3,2020,November
15 Nov,16.8,5.8,5.8,6.2,27.0,32.8,24.2,4.3,26.3,2020,November
16 Nov,6.8,2.2,3.0,4.6,27.5,31.8,24.6,5.5,22.4,2020,November
17 Nov,9.8,5.8,8.2,9.4,26.5,32.3,24.7,3.4,20.9,2020,November
18 Nov,0.0,0.0,0.0,0.0,28.0,33.8,24.3,3.1,18.3,2020,November
19 Nov,6.0,4.0,4.2,4.2,26.6,30.5,24.6,2.4,14.4,2020,November
20 Nov,1.0,0.6,0.8,0.8,27.0,33.3,25.0,3.0,19.8,2020,November
21 Nov,11.8,5.4,6.0,6.2,26.3,32.5,24.2,3.8,25.2,2020,November
22 Nov,27.4,12.8,21.6,26.2,25.6,32.1,23.4,3.2,34.3,2020,November
23 Nov,1.6,1.0,1.0,1.0,25.8,29.6,24.3,3.2,23.7,2020,November
24 Nov,0.4,0.2,0.2,0.2,25.5,27.8,24.1,2.5,13.7,2020,November
25 Nov,0.0,0.0,0.0,0.0,26.3,29.9,24.5,4.1,15.2,2020,November
26 Nov,2.4,0.6,1.0,1.6,25.8,28.2,24.3,2.3,12.6,2020,November
27 Nov,0.0,0.0,0.0,0.0,26.9,30.7,24.6,3.1,15.2,2020,November
28 Nov,23.8,19.2,21.4,23.0,25.9,29.2,22.3,2.6,31.7,2020,November
29 Nov,0.0,0.0,0.0,0.0,27.3,31.3,24.8,3.9,15.7,2020,November
30 Nov,-,-,-,-,-,-,-,-,-,2020,November
2 Dec,6.8,6.4,6.4,6.4,-,-,-,-,-,2020,December
3 Dec,60.6,42.4,52.2,56.6,-,-,-,-,-,2020,December
4 Dec,0.2,0.2,0.2,0.2,-,-,-,-,-,2020,December
5 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,December
6 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,December
7 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,December
8 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2020,December
9 Dec,9.6,8.0,9.6,9.6,-,-,-,-,-,2020,December
10 Dec,20.0,15.2,18.4,19.0,-,-,-,-,-,2020,December
11 Dec,0.2,0.2,0.2,0.2,26.9,32.3,22.7,4.0,26.3,2020,December
12 Dec,23.0,9.8,10.8,18.2,25.9,31.6,22.7,4.3,23.3,2020,December
13 Dec,1.6,0.4,0.6,0.8,26.5,31.1,22.8,3.9,19.1,2020,December
14 Dec,39.6,29.2,31.8,32.0,25.9,31.7,23.6,3.8,19.4,2020,December
15 Dec,0.4,0.2,0.2,0.2,26.6,31.9,23.6,3.9,22.4,2020,December
16 Dec,9.0,4.2,5.0,5.2,25.6,28.6,23.8,3.0,18.3,2020,December
17 Dec,0.0,0.0,0.0,0.0,26.6,31.7,24.3,4.2,20.9,2020,December
18 Dec,14.6,6.0,8.0,8.2,25.1,27.0,22.5,4.0,23.0,2020,December
19 Dec,0.0,0.0,0.0,0.0,26.1,29.8,24.1,4.7,19.4,2020,December
20 Dec,1.2,1.0,1.0,1.2,26.5,30.8,24.1,5.9,27.4,2020,December
21 Dec,0.0,0.0,0.0,0.0,26.9,31.1,24.7,4.3,28.5,2020,December
22 Dec,0.0,0.0,0.0,0.0,27.7,32.3,24.5,5.3,23.7,2020,December
23 Dec,2.4,1.6,2.2,2.2,27.1,31.9,24.4,4.0,19.4,2020,December
24 Dec,10.8,8.4,10.4,10.8,26.0,29.4,24.2,2.4,12.6,2020,December
25 Dec,55.4,45.4,54.8,55.4,27.4,33.6,24.2,3.3,20.2,2020,December
26 Dec,1.0,0.4,0.8,1.0,27.4,31.8,23.5,5.5,23.0,2020,December
27 Dec,0.0,0.0,0.0,0.0,26.8,31.4,23.3,5.1,21.7,2020,December
28 Dec,0.0,0.0,0.0,0.0,27.6,31.2,24.7,6.4,25.6,2020,December
29 Dec,5.6,5.4,5.4,5.6,26.0,30.6,23.8,3.4,23.7,2020,December
30 Dec,0.0,0.0,0.0,0.0,27.1,31.6,24.0,5.1,26.3,2020,December
31 Dec,0.0,0.0,0.0,0.0,27.0,31.6,23.8,5.7,25.6,2020,December
2 Jan,186.0,22.8,38.0,57.2,22.9,24.4,21.5,5.6,37.8,2021,January
3 Jan,4.6,0.8,1.4,2.2,23.8,25.3,22.5,3.2,12.2,2021,January
4 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,January
5 Jan,0.2,0.2,0.2,0.2,26.0,31.3,22.8,5.2,23.0,2021,January
6 Jan,0.8,0.4,0.4,0.4,26.3,29.9,24.2,5.1,25.2,2021,January
7 Jan,10.8,6.0,6.6,7.4,23.9,25.3,23.2,3.8,14.8,2021,January
8 Jan,19.0,4.8,5.6,7.0,25.2,28.2,23.7,4.6,30.6,2021,January
9 Jan,25.2,11.6,15.2,16.0,25.2,28.4,23.6,5.7,26.3,2021,January
10 Jan,-,-,-,-,-,-,-,-,-,2021,January
11 Jan,-,-,-,-,-,-,-,-,-,2021,January
12 Jan,15.6,7.8,8.0,8.8,25.3,28.5,23.5,9.0,35.6,2021,January
13 Jan,2.2,1.2,1.2,1.2,25.2,27.9,23.5,7.1,30.9,2021,January
14 Jan,0.0,0.0,0.0,0.2,25.6,28.8,23.0,6.5,24.8,2021,January
15 Jan,0.0,0.0,0.0,0.0,26.6,30.8,23.7,6.2,22.6,2021,January
16 Jan,0.0,0.0,0.0,0.0,26.6,30.3,23.8,6.3,24.8,2021,January
17 Jan,0.0,0.0,0.0,0.0,26.9,30.5,24.9,9.6,35.6,2021,January
18 Jan,0.0,0.0,0.0,0.0,26.3,28.9,25.0,10.5,40.0,2021,January
19 Jan,0.0,0.0,0.0,0.0,26.1,29.4,23.2,7.6,29.1,2021,January
20 Jan,0.0,0.0,0.0,0.0,26.0,29.5,23.5,6.9,23.3,2021,January
21 Jan,2.4,2.2,2.4,2.4,25.9,30.9,23.3,5.8,23.3,2021,January
22 Jan,13.0,12.4,13.0,13.0,25.3,30.5,22.7,3.9,18.7,2021,January
23 Jan,30.6,18.4,29.6,30.6,25.1,30.4,22.7,4.8,24.1,2021,January
24 Jan,0.0,0.0,0.0,0.0,26.2,31.0,22.5,6.3,23.0,2021,January
25 Jan,0.0,0.0,0.0,0.0,26.9,31.4,24.2,6.5,24.1,2021,January
26 Jan,0.0,0.0,0.0,0.0,26.8,32.1,23.6,6.7,24.1,2021,January
27 Jan,0.0,0.0,0.0,0.0,26.4,30.2,23.5,5.8,22.6,2021,January
28 Jan,8.4,8.2,8.4,8.4,26.1,29.8,23.1,6.4,28.2,2021,January
29 Jan,0.0,0.0,0.0,0.0,26.5,30.6,24.0,8.0,28.2,2021,January
30 Jan,0.0,0.0,0.0,0.0,26.6,30.7,24.0,8.4,31.3,2021,January
31 Jan,2.2,0.8,0.8,0.8,26.1,30.0,23.4,6.3,28.2,2021,January
2 Feb,0.0,0.0,0.0,0.0,26.6,30.1,24.8,7.8,29.4,2021,February
3 Feb,0.0,0.0,0.0,0.0,26.5,30.5,24.4,7.4,27.8,2021,February
4 Feb,0.0,0.0,0.0,0.0,26.4,30.6,23.6,8.3,30.9,2021,February
5 Feb,0.0,0.0,0.0,0.0,26.3,31.2,22.9,7.3,28.5,2021,February
6 Feb,0.0,0.0,0.0,0.0,27.4,31.3,25.1,8.6,27.4,2021,February
7 Feb,0.0,0.0,0.0,0.0,27.3,32.6,24.3,8.9,35.0,2021,February
8 Feb,0.0,0.0,0.0,0.0,27.1,31.3,24.3,7.8,30.6,2021,February
9 Feb,0.0,0.0,0.0,0.0,27.2,32.0,24.4,6.8,25.9,2021,February
10 Feb,0.0,0.0,0.0,0.0,26.9,30.6,24.0,6.3,22.0,2021,February
11 Feb,4.0,3.8,4.0,4.0,27.1,31.8,24.6,6.9,24.8,2021,February
12 Feb,0.2,0.2,0.2,0.2,27.1,30.8,24.5,7.3,29.4,2021,February
13 Feb,0.0,0.0,0.0,0.0,27.2,31.9,24.3,7.4,28.5,2021,February
14 Feb,0.0,0.0,0.0,0.0,26.6,30.1,24.3,7.7,25.9,2021,February
15 Feb,0.0,0.0,0.0,0.0,26.5,30.4,24.0,7.6,28.5,2021,February
16 Feb,0.0,0.0,0.0,0.0,26.3,30.6,23.0,7.2,27.4,2021,February
17 Feb,0.0,0.0,0.0,0.0,26.3,31.0,22.8,7.8,26.7,2021,February
18 Feb,0.0,0.0,0.0,0.0,26.6,31.5,23.4,10.5,34.3,2021,February
19 Feb,0.0,0.0,0.0,0.0,26.8,31.0,24.7,9.9,32.8,2021,February
20 Feb,0.0,0.0,0.0,0.0,26.9,31.2,24.8,9.9,30.9,2021,February
21 Feb,0.0,0.0,0.0,0.0,26.7,30.9,24.7,8.4,29.1,2021,February
22 Feb,0.0,0.0,0.0,0.0,26.7,31.6,23.3,7.6,27.0,2021,February
23 Feb,0.0,0.0,0.0,0.0,26.6,31.8,22.9,7.5,29.1,2021,February
24 Feb,0.2,0.2,0.2,0.2,26.1,31.2,23.0,6.2,23.7,2021,February
25 Feb,0.0,0.0,0.0,0.0,27.0,32.8,23.2,5.3,20.9,2021,February
26 Feb,0.0,0.0,0.0,0.0,27.2,33.0,22.9,4.5,23.3,2021,February
27 Feb,0.0,0.0,0.0,0.0,27.7,33.9,23.9,3.5,20.9,2021,February
